Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_212,20.0,100.0,400.0,1e-07,98.91307708340138,4165.413545136987
Run_213,20.0,100.0,400.0,1e-06,98.91413419401422,4157.4409416001445
Run_214,20.0,100.0,400.0,1e-05,98.91167066667305,4207.949804869292
Run_215,20.0,100.0,400.0,0.0001,98.90485919742,4210.254614273875
Run_216,20.0,100.0,400.0,0.0032,98.6401495077039,3858.173977545603
Run_217,20.0,100.0,450.0,1e-10,99.24960819592438,4576.651340474468
Run_218,20.0,100.0,450.0,1e-09,99.24960901301472,4589.381335191429
Run_219,20.0,100.0,450.0,1e-08,99.2492985186898,4610.261406131932
Run_220,20.0,100.0,450.0,1e-07,99.24929034778653,4628.573815061782
Run_221,20.0,100.0,450.0,1e-06,99.2491105879142,4645.669837502391
Run_222,20.0,100.0,450.0,1e-05,99.24830166848872,4658.707258394763
Run_223,20.0,100.0,450.0,0.0001,99.2415851859864,4636.375589789045
Run_224,20.0,100.0,450.0,0.0032,98.96260603504156,4121.328689920533
Run_225,20.0,100.0,550.0,1e-10,99.75544148306749,5381.125425728983
Run_226,20.0,100.0,550.0,1e-09,99.75612405061574,5346.948278345996
Run_227,20.0,100.0,550.0,1e-08,99.75544883688045,5408.171865267005
Run_228,20.0,100.0,550.0,1e-07,99.75613073590026,5373.095948401885
Run_229,20.0,100.0,550.0,1e-06,99.75535524289734,5435.737539512563
Run_230,20.0,100.0,550.0,1e-05,99.7553218164748,5390.977497936737
Run_231,20.0,100.0,550.0,0.0001,99.74675796702012,5403.76675724959
Run_232,20.0,100.0,550.0,0.0032,99.4176213548403,7987.834432182344
Run_233,20.0,100.0,660.0,1e-10,100.0,5752.897993750139
Run_234,20.0,100.0,660.0,1e-09,100.0,5744.834642960329
Run_235,20.0,100.0,660.0,1e-08,100.0,5736.173238692877
Run_236,20.0,100.0,660.0,1e-07,100.0,5758.617393460817
Run_237,20.0,100.0,660.0,1e-06,100.0,5830.347519841133
Run_238,20.0,100.0,660.0,1e-05,100.0,5802.40359583253
Run_239,20.0,100.0,660.0,0.0001,100.0,5750.720454067898
Run_240,20.0,100.0,660.0,0.0032,99.81300245120929,9706.467098269011
Run_241,20.0,200.0,32.0,1e-10,100.0,774.0332271618041
Run_242,20.0,200.0,32.0,1e-09,100.0,824.3652848892867
Run_243,20.0,200.0,32.0,1e-08,100.0,881.6983330130282
Run_244,20.0,200.0,32.0,1e-07,100.0,942.903618971735
Run_245,20.0,200.0,32.0,1e-06,100.0,1018.6687858663888
Run_246,20.0,200.0,32.0,1e-05,100.0,1107.6629912606402
Run_247,20.0,200.0,32.0,0.0001,100.0,1245.39418387789
Run_248,20.0,200.0,32.0,0.0032,100.0,1654.2431074031408
Run_249,20.0,200.0,80.0,1e-10,100.0,2786.217991615418
Run_250,20.0,200.0,80.0,1e-09,100.0,2887.7333027950376
Run_251,20.0,200.0,80.0,1e-08,100.0,2996.9257087077117
Run_252,20.0,200.0,80.0,1e-07,100.0,3114.700025108972
Run_253,20.0,200.0,80.0,1e-06,100.0,3242.1069433857156
Run_254,20.0,200.0,80.0,1e-05,100.0,3404.555750037308
Run_255,20.0,200.0,80.0,0.0001,100.0,3583.855640689045
Run_256,20.0,200.0,80.0,0.0032,100.0,4155.469416263967
Run_257,20.0,200.0,160.0,1e-10,100.0,6574.466370407002
Run_258,20.0,200.0,160.0,1e-09,100.0,6761.403358290097
Run_259,20.0,200.0,160.0,1e-08,100.0,6908.734480829211
Run_260,20.0,200.0,160.0,1e-07,100.0,7115.461952280139
Run_261,20.0,200.0,160.0,1e-06,100.0,7278.806687293311
Run_262,20.0,200.0,160.0,1e-05,100.0,7449.767428290093
Run_263,20.0,200.0,160.0,0.0001,100.0,7690.016577055367
Run_264,20.0,200.0,160.0,0.0032,100.0,8370.108267684533
Run_265,20.0,200.0,250.0,1e-10,100.0,11045.770679115803
Run_266,20.0,200.0,250.0,1e-09,100.0,11210.82418715388
Run_267,20.0,200.0,250.0,1e-08,100.0,11473.017458649856
Run_268,20.0,200.0,250.0,1e-07,100.0,11649.891307452464
Run_269,20.0,200.0,250.0,1e-06,100.0,11933.541257741546
Run_270,20.0,200.0,250.0,1e-05,100.0,12124.445392889313
Run_271,20.0,200.0,250.0,0.0001,100.0,12432.685249260287
Run_272,20.0,200.0,250.0,0.0032,100.0,13143.46733859236
Run_273,20.0,200.0,300.0,1e-10,100.0,13501.093701734348
Run_274,20.0,200.0,300.0,1e-09,100.0,13708.493912283924
Run_275,20.0,200.0,300.0,1e-08,100.0,14030.289123901674
Run_276,20.0,200.0,300.0,1e-07,100.0,14248.057432528734
Run_277,20.0,200.0,300.0,1e-06,100.0,14499.672314451254
Run_278,20.0,200.0,300.0,1e-05,100.0,14737.80865899188
Run_279,20.0,200.0,300.0,0.0001,100.0,14987.964547775333
Run_280,20.0,200.0,300.0,0.0032,100.0,15855.592992722914
Run_281,20.0,200.0,350.0,1e-10,100.0,16031.62983562347
Run_282,20.0,200.0,350.0,1e-09,100.0,16302.359667156823
Run_283,20.0,200.0,350.0,1e-08,100.0,16562.93377174194
Run_284,20.0,200.0,350.0,1e-07,100.0,16814.737924813457
Run_285,20.0,200.0,350.0,1e-06,100.0,17051.020461514323
Run_286,20.0,200.0,350.0,1e-05,100.0,17280.498184957534
Run_287,20.0,200.0,350.0,0.0001,100.0,17582.76297558128
Run_288,20.0,200.0,350.0,0.0032,100.0,18450.753689907528
Run_289,20.0,200.0,400.0,1e-10,100.0,18336.115641825178
Run_290,20.0,200.0,400.0,1e-09,100.0,18677.396393840725
Run_291,20.0,200.0,400.0,1e-08,100.0,18932.207728986607
Run_292,20.0,200.0,400.0,1e-07,100.0,19107.95992143538
Run_293,20.0,200.0,400.0,1e-06,100.0,19461.21908425822
Run_294,20.0,200.0,400.0,1e-05,100.0,19717.04927878232
Run_295,20.0,200.0,400.0,0.0001,100.0,20083.240455540097
Run_296,20.0,200.0,400.0,0.0032,100.0,21018.18608064337
Run_297,20.0,200.0,450.0,1e-10,100.0,20704.376978529483
Run_298,20.0,200.0,450.0,1e-09,100.0,20896.85571605777
Run_299,20.0,200.0,450.0,1e-08,100.0,21263.472756823256
Run_300,20.0,200.0,450.0,1e-07,100.0,21543.118844559613
Run_301,20.0,200.0,450.0,1e-06,100.0,21898.660508564724
Run_302,20.0,200.0,450.0,1e-05,100.0,22132.23440293781
Run_303,20.0,200.0,450.0,0.0001,100.0,22399.94591674884
Run_304,20.0,200.0,450.0,0.0032,100.0,23335.98158903335
Run_305,20.0,200.0,550.0,1e-10,100.0,24362.922897318862
Run_306,20.0,200.0,550.0,1e-09,100.0,24652.852426982965
Run_307,20.0,200.0,550.0,1e-08,100.0,24794.607810423226
Run_308,20.0,200.0,550.0,1e-07,100.0,25230.83619252897
Run_309,20.0,200.0,550.0,1e-06,100.0,25407.50123672742
Run_310,20.0,200.0,550.0,1e-05,100.0,25851.848765644005
Run_311,20.0,200.0,550.0,0.0001,100.0,26084.417707766923
Run_312,20.0,200.0,550.0,0.0032,100.0,27198.62582097122
Run_313,20.0,200.0,660.0,1e-10,100.0,27034.044340591896
Run_314,20.0,200.0,660.0,1e-09,100.0,27364.8173376298
Run_315,20.0,200.0,660.0,1e-08,100.0,27587.425664906183
Run_316,20.0,200.0,660.0,1e-07,100.0,27836.233339399027
Run_317,20.0,200.0,660.0,1e-06,100.0,28154.648129227277
Run_318,20.0,200.0,660.0,1e-05,100.0,28384.011026885186
Run_319,20.0,200.0,660.0,0.0001,100.0,28784.289975100328
Run_320,20.0,200.0,660.0,0.0032,100.0,29933.533737133213
Run_321,20.0,300.0,32.0,1e-10,100.0,846.47822851455
Run_322,20.0,300.0,32.0,1e-09,100.0,898.4638716890308
Run_323,20.0,300.0,32.0,1e-08,100.0,957.2540624200378
Run_324,20.0,300.0,32.0,1e-07,100.0,1024.2749469182818
Run_325,20.0,300.0,32.0,1e-06,100.0,1095.0447078194695
Run_326,20.0,300.0,32.0,1e-05,100.0,1191.043802355462
Run_327,20.0,300.0,32.0,0.0001,100.0,1314.411396540065
Run_328,20.0,300.0,32.0,0.0032,100.0,1697.5318063476254
Run_329,20.0,300.0,80.0,1e-10,100.0,2941.5027655690437
Run_330,20.0,300.0,80.0,1e-09,100.0,3054.871710541582
Run_331,20.0,300.0,80.0,1e-08,100.0,3156.2426320810096
Run_332,20.0,300.0,80.0,1e-07,100.0,3287.136427660897
Run_333,20.0,300.0,80.0,1e-06,100.0,3404.8020033540884
Run_334,20.0,300.0,80.0,1e-05,100.0,3557.5914296854644
Run_335,20.0,300.0,80.0,0.0001,100.0,3724.439324255388
Run_336,20.0,300.0,80.0,0.0032,100.0,4247.666110418989
Run_337,20.0,300.0,160.0,1e-10,100.0,6859.257071847366
Run_338,20.0,300.0,160.0,1e-09,100.0,7010.9236407139415
Run_339,20.0,300.0,160.0,1e-08,100.0,7223.895718186056
Run_340,20.0,300.0,160.0,1e-07,100.0,7392.313417117461
Run_341,20.0,300.0,160.0,1e-06,100.0,7568.765484054214
Run_342,20.0,300.0,160.0,1e-05,100.0,7753.784679344392
Run_343,20.0,300.0,160.0,0.0001,100.0,8014.402564191343
Run_344,20.0,300.0,160.0,0.0032,100.0,8602.928313472847
Run_345,20.0,300.0,250.0,1e-10,100.0,11461.745643063987
Run_346,20.0,300.0,250.0,1e-09,100.0,11733.184396343657
Run_347,20.0,300.0,250.0,1e-08,100.0,11921.400473100808
Run_348,20.0,300.0,250.0,1e-07,100.0,12115.752612203645
Run_349,20.0,300.0,250.0,1e-06,100.0,12419.450950219492
Run_350,20.0,300.0,250.0,1e-05,100.0,12630.413013428806
Run_351,20.0,300.0,250.0,0.0001,100.0,12847.629010248287
Run_352,20.0,300.0,250.0,0.0032,100.0,13514.721213255094
Run_353,20.0,300.0,300.0,1e-10,100.0,14081.517757800484
Run_354,20.0,300.0,300.0,1e-09,100.0,14310.047396540733
Run_355,20.0,300.0,300.0,1e-08,100.0,14545.654225457232
Run_356,20.0,300.0,300.0,1e-07,100.0,14788.669737197613
Run_357,20.0,300.0,300.0,1e-06,100.0,15039.47487765177
Run_358,20.0,300.0,300.0,1e-05,100.0,15298.534635229395
Run_359,20.0,300.0,300.0,0.0001,100.0,15703.960398992214
Run_360,20.0,300.0,300.0,0.0032,100.0,16266.717385030048
Run_361,20.0,300.0,350.0,1e-10,100.0,16757.052223928677
Run_362,20.0,300.0,350.0,1e-09,100.0,17034.531423047116
Run_363,20.0,300.0,350.0,1e-08,100.0,17316.252138266056
Run_364,20.0,300.0,350.0,1e-07,100.0,17592.158962835692
Run_365,20.0,300.0,350.0,1e-06,100.0,17888.758125554
Run_366,20.0,300.0,350.0,1e-05,100.0,18046.201054521774
Run_367,20.0,300.0,350.0,0.0001,100.0,18378.53878783523
Run_368,20.0,300.0,350.0,0.0032,100.0,19054.494721041025
Run_369,20.0,300.0,400.0,1e-10,100.0,19360.493177674063
Run_370,20.0,300.0,400.0,1e-09,100.0,19679.501061347662
Run_371,20.0,300.0,400.0,1e-08,100.0,19992.208643171998
