Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_336,20.0,300.0,80.0,0.0032,102.49185612110456,0.734686956970214
Run_337,20.0,300.0,160.0,1e-10,102.8290123587972,1.1863942631533428
Run_338,20.0,300.0,160.0,1e-09,102.82901235879717,1.2126268923332542
Run_339,20.0,300.0,160.0,1e-08,102.82901006073064,1.2494630756513863
Run_340,20.0,300.0,160.0,1e-07,102.82900086846442,1.2785930221941089
Run_341,20.0,300.0,160.0,1e-06,102.82890894580245,1.3091126131268531
Run_342,20.0,300.0,160.0,1e-05,102.827982824983,1.3411139960122445
Run_343,20.0,300.0,160.0,0.0001,102.8187285109877,1.3861911173708565
Run_344,20.0,300.0,160.0,0.0032,102.4999591037586,1.4879840032988874
Run_345,20.0,300.0,250.0,1e-10,102.83193173061895,1.982452200612977
Run_346,20.0,300.0,250.0,1e-09,102.83193173061895,2.029400926446599
Run_347,20.0,300.0,250.0,1e-08,102.83193025985635,2.061955249948251
Run_348,20.0,300.0,250.0,1e-07,102.83192143528082,2.0955708821439814
Run_349,20.0,300.0,250.0,1e-06,102.8318287772375,2.148099306458332
Run_350,20.0,300.0,250.0,1e-05,102.83090366756731,2.1845878326810584
