,Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
1511,Run_1512,30.0,600.0,550.0,0.0032,100.0,32004.12622353265
1512,Run_1513,30.0,600.0,660.0,1e-10,100.0,37226.63401562978
1513,Run_1514,30.0,600.0,660.0,1e-09,100.0,37397.616080348154
1514,Run_1515,30.0,600.0,660.0,1e-08,100.0,37512.5980588797
1515,Run_1516,30.0,600.0,660.0,1e-07,100.0,37899.62174255444
1516,Run_1517,30.0,600.0,660.0,1e-06,100.0,38063.389079176224
1517,Run_1518,30.0,600.0,660.0,1e-05,100.0,38290.29015500316
1518,Run_1519,30.0,600.0,660.0,0.0001,100.0,38528.4686338824
1519,Run_1520,30.0,600.0,660.0,0.0032,100.0,38533.460552050456
1584,Run_1585,30.0,800.0,550.0,1e-10,100.0,30473.938065620805
1585,Run_1586,30.0,800.0,550.0,1e-09,100.0,30866.139678608342
1586,Run_1587,30.0,800.0,550.0,1e-08,100.0,31017.259912389425
1587,Run_1588,30.0,800.0,550.0,1e-07,100.0,31058.048375881786
1588,Run_1589,30.0,800.0,550.0,1e-06,100.0,31621.0536884607
1589,Run_1590,30.0,800.0,550.0,1e-05,100.0,31782.470910719792
1590,Run_1591,30.0,800.0,550.0,0.0001,100.0,31991.4636998707
1591,Run_1592,30.0,800.0,550.0,0.0032,100.0,32057.805695574156
1592,Run_1593,30.0,800.0,660.0,1e-10,100.0,36990.281114501275
1593,Run_1594,30.0,800.0,660.0,1e-09,100.0,36912.49541100571
1594,Run_1595,30.0,800.0,660.0,1e-08,100.0,37566.68955778186
1595,Run_1596,30.0,800.0,660.0,1e-07,100.0,37800.57242169096
1596,Run_1597,30.0,800.0,660.0,1e-06,100.0,37954.54292499604
1597,Run_1598,30.0,800.0,660.0,1e-05,100.0,38323.11897615976
1598,Run_1599,30.0,800.0,660.0,0.0001,100.0,38597.53491773732
1599,Run_1600,30.0,800.0,660.0,0.0032,100.0,38574.97218013164
1664,Run_1665,30.0,900.0,550.0,1e-10,100.0,30532.542441362515
1665,Run_1666,30.0,900.0,550.0,1e-09,100.0,30754.390404026
1666,Run_1667,30.0,900.0,550.0,1e-08,100.0,30940.30399041424
1667,Run_1668,30.0,900.0,550.0,1e-07,100.0,31026.60831550247
1668,Run_1669,30.0,900.0,550.0,1e-06,100.0,31491.726998936727
1669,Run_1670,30.0,900.0,550.0,1e-05,100.0,31672.171790618944
1670,Run_1671,30.0,900.0,550.0,0.0001,100.0,31925.13220291584
1671,Run_1672,30.0,900.0,550.0,0.0032,100.0,31957.22095844816
1672,Run_1673,30.0,900.0,660.0,1e-10,100.0,36850.326217380774
1673,Run_1674,30.0,900.0,660.0,1e-09,100.0,36877.466822345865
1674,Run_1675,30.0,900.0,660.0,1e-08,100.0,37485.95684133469
1675,Run_1676,30.0,900.0,660.0,1e-07,100.0,37710.61200831366
1676,Run_1677,30.0,900.0,660.0,1e-06,100.0,38154.7926162737
1677,Run_1678,30.0,900.0,660.0,1e-05,100.0,38489.922834093595
1678,Run_1679,30.0,900.0,660.0,0.0001,100.0,38517.31383177378
1679,Run_1680,30.0,900.0,660.0,0.0032,100.0,38463.272162558234
1744,Run_1745,30.0,1000.0,550.0,1e-10,100.0,30532.46577947534
1745,Run_1746,30.0,1000.0,550.0,1e-09,100.0,30666.95556433738
1746,Run_1747,30.0,1000.0,550.0,1e-08,100.0,31147.747836890732
1747,Run_1748,30.0,1000.0,550.0,1e-07,100.0,31068.980298794828
1748,Run_1749,30.0,1000.0,550.0,1e-06,100.0,31727.903924531598
1749,Run_1750,30.0,1000.0,550.0,1e-05,100.0,31906.54276944127
1750,Run_1751,30.0,1000.0,550.0,0.0001,100.0,31844.65473366274
1751,Run_1752,30.0,1000.0,550.0,0.0032,100.0,31889.084654095946
1752,Run_1753,30.0,1000.0,660.0,1e-10,100.0,37101.97833903537
1753,Run_1754,30.0,1000.0,660.0,1e-09,100.0,37201.43332900429
1754,Run_1755,30.0,1000.0,660.0,1e-08,100.0,37395.33668623947
1755,Run_1756,30.0,1000.0,660.0,1e-07,100.0,37600.02500331971
1756,Run_1757,30.0,1000.0,660.0,1e-06,100.0,37943.330862709714
1757,Run_1758,30.0,1000.0,660.0,1e-05,100.0,38386.83859314891
1758,Run_1759,30.0,1000.0,660.0,0.0001,100.0,38422.22727201037
1759,Run_1760,30.0,1000.0,660.0,0.0032,100.0,38419.89358736867
1832,Run_1833,40.0,32.0,660.0,1e-10,96.48907843675065,35772.37047902585
1833,Run_1834,40.0,32.0,660.0,1e-09,96.48907899385767,36322.12171098335
1834,Run_1835,40.0,32.0,660.0,1e-08,96.48907899385767,36361.5367472719
1835,Run_1836,40.0,32.0,660.0,1e-07,96.48906785171684,36510.49453926275
1836,Run_1837,40.0,32.0,660.0,1e-06,96.48897871459006,36615.45354647519
1837,Run_1838,40.0,32.0,660.0,1e-05,96.48811519867446,36678.48231832016
1838,Run_1839,40.0,32.0,660.0,0.0001,96.47942989988456,36711.32348441443
1839,Run_1840,40.0,32.0,660.0,0.0032,96.18031355778768,36635.897900356955
1912,Run_1913,40.0,50.0,660.0,1e-10,98.08885587736168,36823.111002265425
1913,Run_1914,40.0,50.0,660.0,1e-09,98.08885643446872,36971.636158117886
1914,Run_1915,40.0,50.0,660.0,1e-08,98.0888508633983,37072.32320045216
1915,Run_1916,40.0,50.0,660.0,1e-07,98.08884529232787,37186.57517923623
1916,Run_1917,40.0,50.0,660.0,1e-06,98.0887561552011,37245.94086908807
1917,Run_1918,40.0,50.0,660.0,1e-05,98.0878703550038,37303.141199657905
1918,Run_1919,40.0,50.0,660.0,0.0001,98.07904577945332,37333.842761388965
1919,Run_1920,40.0,50.0,660.0,0.0032,97.77497118467974,37257.01616839663
1984,Run_1985,40.0,100.0,550.0,1e-10,100.0,28952.156065225387
1985,Run_1986,40.0,100.0,550.0,1e-09,100.0,29295.379006552892
1986,Run_1987,40.0,100.0,550.0,1e-08,100.0,29322.51141241801
1987,Run_1988,40.0,100.0,550.0,1e-07,100.0,29396.321782996656
1988,Run_1989,40.0,100.0,550.0,1e-06,100.0,29298.25421114492
1989,Run_1990,40.0,100.0,550.0,1e-05,100.0,29340.01700118473
1990,Run_1991,40.0,100.0,550.0,0.0001,100.0,29509.55540570985
1991,Run_1992,40.0,100.0,550.0,0.0032,100.0,29506.87295320546
1992,Run_1993,40.0,100.0,660.0,1e-10,100.0,37828.910713043835
1993,Run_1994,40.0,100.0,660.0,1e-09,100.0,37800.078858688634
1994,Run_1995,40.0,100.0,660.0,1e-08,100.0,38048.31999360643
1995,Run_1996,40.0,100.0,660.0,1e-07,100.0,38147.22832459352
1996,Run_1997,40.0,100.0,660.0,1e-06,100.0,38080.75157190913
1997,Run_1998,40.0,100.0,660.0,1e-05,100.0,38071.50411788954
1998,Run_1999,40.0,100.0,660.0,0.0001,100.0,38072.55542407223
1999,Run_2000,40.0,100.0,660.0,0.0032,100.0,38292.8521480327
2064,Run_2065,40.0,200.0,550.0,1e-10,100.0,31852.348206454022
2065,Run_2066,40.0,200.0,550.0,1e-09,100.0,32117.60751028516
2066,Run_2067,40.0,200.0,550.0,1e-08,100.0,32143.8835867986
2067,Run_2068,40.0,200.0,550.0,1e-07,100.0,32274.514389579723
2068,Run_2069,40.0,200.0,550.0,1e-06,100.0,32338.85865836049
2069,Run_2070,40.0,200.0,550.0,1e-05,100.0,32382.211729317725
2070,Run_2071,40.0,200.0,550.0,0.0001,100.0,32376.421383375182
2071,Run_2072,40.0,200.0,550.0,0.0032,100.0,32324.464391619673
2072,Run_2073,40.0,200.0,660.0,1e-10,100.0,38500.88137813192
2073,Run_2074,40.0,200.0,660.0,1e-09,100.0,38578.18194383328
2074,Run_2075,40.0,200.0,660.0,1e-08,100.0,38681.64263315261
2075,Run_2076,40.0,200.0,660.0,1e-07,100.0,38802.60885587957
2076,Run_2077,40.0,200.0,660.0,1e-06,100.0,38827.24744697074
2077,Run_2078,40.0,200.0,660.0,1e-05,100.0,38874.93934148366
2078,Run_2079,40.0,200.0,660.0,0.0001,100.0,38893.78480511898
2079,Run_2080,40.0,200.0,660.0,0.0032,100.0,38802.25989778894
2144,Run_2145,40.0,300.0,550.0,1e-10,100.0,31916.511081124518
